VARIENCE: 60
500	0.0000	0.0000	0.0000	0.1124	10.0577	6982.9341
1000	0.0000	0.0000	0.0000	0.1124	10.1748	6638.8543
1500	0.0000	0.0000	0.0000	0.1124	10.3443	6352.6011
2000	0.0000	0.0000	0.0000	0.1124	10.5610	6113.9744
2500	0.0000	0.0000	0.0000	0.1124	10.8193	5911.7090
3000	0.0000	0.0000	0.0000	0.1124	11.1128	5741.2984
3500	0.0000	0.0000	0.0000	0.1124	11.4365	5594.7972
4000	0.0000	0.0000	0.0000	0.1124	11.7851	5469.3172
4500	0.0000	0.0000	0.0000	0.1124	12.1518	5361.1980
5000	0.0000	0.0000	0.0000	0.1124	12.5300	5267.0368
5500	0.0000	0.0000	0.0000	0.1124	12.9121	5184.5092
6000	0.0000	0.0000	0.0000	0.1124	13.2900	5111.7976
6500	0.0000	0.0000	0.0000	0.1124	13.6552	5046.9032
7000	0.0000	0.0000	0.0000	0.1124	13.9985	4987.9958
7500	0.0000	0.0000	0.0000	0.1124	14.3081	4933.3758
8000	0.0000	-0.0000	0.0001	0.1124	14.5759	4883.2092
8500	-0.0000	0.0001	0.0005	0.1125	14.7883	4834.8116
9000	-0.0000	0.0006	0.0016	0.1127	14.9515	4789.3907
9500	-0.0001	0.0011	0.0025	0.1129	15.0506	4745.3311
10000	-0.0001	0.0022	0.0046	0.1134	15.0920	4702.7863
10500	-0.0001	0.0029	0.0060	0.1138	15.0776	4660.8289
11000	-0.0001	0.0046	0.0091	0.1150	15.0205	4619.8820
11500	0.0001	0.0079	0.0149	0.1182	14.9427	4579.9140
12000	0.0005	0.0110	0.0200	0.1214	14.8720	4540.4709
12500	0.0024	0.0193	0.0331	0.1316	14.8472	4501.7433
13000	0.0090	0.0333	0.0533	0.1514	14.9251	4463.3897
13500	0.0179	0.0438	0.0674	0.1717	15.1210	4425.6159
14000	0.0259	0.0527	0.0792	0.1843	15.3398	4388.5120
14500	0.0305	0.0578	0.0860	0.1920	15.5656	4352.1269
15000	0.0345	0.0630	0.0928	0.1980	15.7699	4316.1072
15500	0.0367	0.0646	0.0946	0.2013	15.9529	4280.6777
16000	0.0381	0.0648	0.0945	0.2031	16.1107	4245.8340
16500	0.0395	0.0677	0.0973	0.2054	16.2492	4211.5839
17000	0.0400	0.0686	0.0973	0.2059	16.3614	4177.9392
17500	0.0408	0.0698	0.0981	0.2064	16.4443	4144.8787
18000	0.0416	0.0715	0.0993	0.2079	16.5053	4112.3513
18500	0.0436	0.0748	0.1019	0.2109	16.5492	4080.3926
19000	0.0456	0.0774	0.1033	0.2146	16.5985	4048.9549
19500	0.0491	0.0838	0.1094	0.2187	16.6963	4018.1470
20000	0.0610	0.0975	0.1237	0.2440	16.9567	3987.7879
20500	0.0740	0.1097	0.1371	0.2591	17.3434	3958.0612
21000	0.0840	0.1228	0.1520	0.2701	17.7473	3928.7495
21500	0.0947	0.1361	0.1673	0.2790	18.1396	3899.8906
22000	0.1067	0.1511	0.1841	0.2906	18.5233	3871.5191
22500	0.1176	0.1643	0.1986	0.2982	18.8802	3843.5880
23000	0.1292	0.1778	0.2135	0.3063	19.2154	3816.1294
23500	0.1441	0.1948	0.2309	0.3174	19.5575	3789.2197
24000	0.1613	0.2122	0.2486	0.3326	19.9266	3762.6043
24500	0.1761	0.2270	0.2636	0.3437	20.2973	3736.4109
25000	0.1915	0.2427	0.2801	0.3501	20.6571	3710.6795
25500	0.2057	0.2561	0.2923	0.3565	20.9923	3685.4123
26000	0.2167	0.2682	0.3048	0.3613	21.2975	3660.4380
26500	0.2284	0.2814	0.3169	0.3656	21.5745	3635.8071
27000	0.2396	0.2957	0.3321	0.3683	21.8155	3611.6472
27500	0.2464	0.3053	0.3411	0.3692	22.0369	3587.7727
28000	0.2497	0.3098	0.3443	0.3697	22.2251	3564.3872
28500	0.2515	0.3145	0.3486	0.3695	22.4016	3541.1969
29000	0.2524	0.3174	0.3490	0.3712	22.5580	3518.4960
29500	0.2522	0.3198	0.3499	0.3748	22.7136	3496.0754
30000	0.2497	0.3208	0.3490	0.3765	22.8630	3473.9902
30500	0.2481	0.3210	0.3468	0.3826	23.0076	3452.2606
31000	0.2498	0.3269	0.3508	0.3882	23.1479	3430.7823
31500	0.2547	0.3338	0.3557	0.3992	23.2912	3409.6851
32000	0.2577	0.3386	0.3575	0.4064	23.4577	3388.8955
32500	0.2631	0.3448	0.3623	0.4111	23.6645	3368.3486
33000	0.2602	0.3448	0.3596	0.4125	23.8969	3348.1314
33500	0.2624	0.3486	0.3617	0.4154	24.1645	3328.2005
34000	0.2607	0.3509	0.3622	0.4157	24.4273	3308.5632
34500	0.2663	0.3569	0.3670	0.4201	24.6957	3289.1794
35000	0.2653	0.3596	0.3678	0.4212	24.9619	3270.0254
35500	0.2686	0.3644	0.3708	0.4251	25.2150	3251.2019
36000	0.2742	0.3702	0.3762	0.4281	25.4523	3232.6326
36500	0.2800	0.3757	0.3800	0.4327	25.6790	3214.3159
37000	0.2847	0.3819	0.3855	0.4374	25.8878	3196.2450
37500	0.2889	0.3884	0.3907	0.4417	26.0943	3178.3817
38000	0.2900	0.3906	0.3913	0.4449	26.2805	3160.7914
38500	0.2971	0.3969	0.3980	0.4520	26.4610	3143.4697
39000	0.2955	0.3961	0.3993	0.4552	26.6304	3126.3353
39500	0.2988	0.4010	0.4045	0.4617	26.7979	3109.4650
40000	0.3007	0.4015	0.4060	0.4653	26.9643	3092.7514
40500	0.3020	0.4014	0.4077	0.4716	27.1207	3076.3488
41000	0.3033	0.4033	0.4107	0.4748	27.2781	3060.1208
41500	0.3053	0.4066	0.4141	0.4788	27.4248	3044.1201
42000	0.3037	0.4044	0.4138	0.4830	27.5654	3028.3263
42500	0.3057	0.4069	0.4168	0.4844	27.7075	3012.7173
43000	0.3046	0.4064	0.4174	0.4894	27.8404	2997.3140
43500	0.3046	0.4065	0.4182	0.4927	27.9768	2982.1686
44000	0.3020	0.4050	0.4177	0.4945	28.1244	2967.1672
44500	0.3058	0.4085	0.4225	0.5013	28.2803	2952.3373
45000	0.3074	0.4092	0.4244	0.5058	28.4354	2937.7348
45500	0.3057	0.4070	0.4236	0.5112	28.6005	2923.3100
46000	0.3087	0.4104	0.4278	0.5165	28.7736	2909.0620
46500	0.3082	0.4083	0.4270	0.5179	28.9535	2894.9977
47000	0.3140	0.4125	0.4322	0.5291	29.1264	2881.0737
47500	0.3151	0.4133	0.4343	0.5349	29.2970	2867.3755
48000	0.3183	0.4164	0.4378	0.5404	29.4793	2853.8296
48500	0.3197	0.4172	0.4399	0.5463	29.6787	2840.4611
49000	0.3224	0.4178	0.4419	0.5516	29.8698	2827.2166
49500	0.3274	0.4192	0.4447	0.5575	30.0575	2814.1616
50000	0.3274	0.4198	0.4457	0.5586	30.2408	2801.2706
50500	0.3344	0.4227	0.4501	0.5667	30.4102	2788.5318
51000	0.3376	0.4260	0.4534	0.5696	30.5737	2775.9204
51500	0.3439	0.4299	0.4582	0.5756	30.7342	2763.4789
52000	0.3449	0.4306	0.4593	0.5782	30.8772	2751.1700
52500	0.3455	0.4300	0.4600	0.5789	31.0146	2739.0391
53000	0.3491	0.4324	0.4626	0.5821	31.1476	2727.0410
53500	0.3535	0.4371	0.4684	0.5868	31.2744	2715.1850
54000	0.3586	0.4397	0.4722	0.5915	31.3965	2703.4477
54500	0.3550	0.4391	0.4718	0.5909	31.5138	2691.8756
55000	0.3542	0.4364	0.4704	0.5924	31.6295	2680.4061
55500	0.3524	0.4364	0.4711	0.5931	31.7459	2669.0945
56000	0.3519	0.4368	0.4722	0.5946	31.8678	2657.8989
