MEAN:	10
500	0.109703951755	0.209229002232	0.255104249896	0.203982371795	5484.43408203	196981999.168
1000	0.14084619977	0.277657733951	0.302230445204	0.269959935897	7667.71484375	180506832.976
1500	0.165669890145	0.343778055437	0.345505801962	0.330408653846	10307.92285156	171838946.731
2000	0.180048357525	0.360206797393	0.382296073892	0.3853125	12895.79296875	165122531.136
2500	0.185991833059	0.373203973176	0.407653402325	0.443181089744	14926.18847656	160060192.998
3000	0.177895601709	0.36784898775	0.412958851905	0.46577724359	16748.00976562	155940429.619
3500	0.174974397631	0.375665117951	0.428517024755	0.499447115385	18251.671875	152468459.477
4000	0.162398093021	0.372500433877	0.430357943564	0.505288461538	19513.80273438	149561533.852
4500	0.154738829191	0.370783643064	0.432794466591	0.515929487179	20450.82226562	147101723.152
5000	0.148354912566	0.371776756287	0.437691691781	0.526770833333	21545.27148438	144983566.733
5500	0.144966080763	0.373378594591	0.441735901102	0.538493589744	22261.75390625	143087268.225
6000	0.140348024526	0.372714753285	0.442724670229	0.543733974359	22879.8125	141468297.343
6500	0.138002766858	0.374464346119	0.446412229787	0.550673076923	23444.92773438	140038717.861
7000	0.134582629573	0.374612225559	0.447899903823	0.554543269231	23910.56640625	138752444.965
7500	0.133622620048	0.37617807083	0.450965897881	0.561578525641	24269.37890625	137596451.901
8000	0.130998464195	0.375226438451	0.450984728686	0.562756410256	24687.98632812	136560940.808
8500	0.128219854597	0.374088571817	0.450977268375	0.569991987179	25136.9921875	135613424.186
9000	0.126348559315	0.3746562261	0.452825069317	0.57421474359	25577.03125	134739585.81
9500	0.122931891609	0.372486224453	0.451212346427	0.570480769231	25899.61328125	133928863.001
10000	0.121066895612	0.372270510043	0.451958375443	0.571354166667	26279.51171875	133196985.898
10500	0.120184314543	0.372746880194	0.453400538599	0.573766025641	26584.18359375	132499297.425
11000	0.118256120345	0.372811610106	0.454315948668	0.579391025641	26984.12304688	131868997.217
11500	0.116081083242	0.37101194939	0.453013006991	0.579791666667	27316.92773438	131247977.827
12000	0.114678944765	0.3708355269	0.453670765873	0.581682692308	27669.14453125	130678284.931
Done	training
